percent	voltage
0	0,00
1	2,98
2	3,04
3	3,15
4	3,22
5	3,32
10	3,97
15	4,68
20	5,40
25	6,12
30	6,72
35	7,30
40	7,79
45	8,23
50	8,61
55	8,96
60	9,28
65	9,58
70	9,85
75	10,09
80	10,33
85	10,55
90	10,75
95	10,95
100	11,13
